start_station_id,rides,start_station_name,start_station_lat,start_station_lng
3183,1726,Exchange Place,40.7162469,-74.0334588
3184,826,Paulus Hook,40.7141454,-74.0335519
3185,949,City Hall,40.7177325,-74.043845
3186,3621,Grove St PATH,40.71958611647166,-74.04311746358871
3187,929,Warren St,40.7211236,-74.03805095
3191,104,Union St,40.7182113,-74.0836394
3192,799,Liberty Light Rail,40.7112423,-74.0557013
3193,240,Lincoln Park,40.7246050998869,-74.07840594649315
3194,485,McGinley Square,40.7253399253558,-74.06762212514877
3195,1827,Sip Ave,40.73074262530658,-74.06378388404846
3196,238,Riverview Park,40.7443187,-74.0439909
3198,290,Heights Elevator,40.748715945380226,-74.04044330120087
3199,1055,Newport Pkwy,40.7287448,-74.0321082
3201,119,Dey St,40.737711,-74.066921
3202,1511,Newport PATH,40.7272235,-74.0337589
3203,1961,Hamilton Park,40.727595966,-74.044247311
3205,529,JC Medical Center,40.71653978099194,-74.0496379137039
3206,332,Hilltop,40.7311689,-74.0575736
3207,589,Oakland Ave,40.7376037,-74.0524783
3209,751,Brunswick St,40.7241765,-74.0506564
3210,426,Pershing Field,40.742677141,-74.051788633
3211,934,Newark Ave,40.72152515,-74.046304543
3212,235,Christ Hospital,40.734785818,-74.050443636
3213,923,Van Vorst Park,40.71848892,-74.047726625
3214,722,Essex Light Rail,40.7127742,-74.0364857
3220,216,5 Corners Library,40.734961020009514,-74.0595030784607
3225,412,Baldwin at Montgomery,40.7236589,-74.0641943
3267,1093,Morris Canal,40.7124188237569,-74.03852552175522
3268,195,Lafayette Park,40.71346382669195,-74.06285852193832
3269,775,Brunswick & 6th,40.72601172964625,-74.05038893222809
3270,798,Jersey & 6th St,40.72528910781132,-74.04557168483734
3272,797,Jersey & 3rd,40.72333158646436,-74.04595255851744
3273,605,Manila & 1st,40.721650724879986,-74.04288411140442
3275,750,Columbus Drive,40.71835519823214,-74.03891444206238
3276,938,Marin Light Rail,40.71458403535893,-74.04281705617905
3277,162,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
3278,530,Monmouth and 6th,40.72568548362901,-74.04879033565521
3279,510,Dixon Mills,40.721630142638354,-74.04996782541275
3280,249,Astor Place,40.71928220070702,-74.07126188278198
3281,298,Leonard Gordon Park,40.74590996631558,-74.0572714805603
3426,21,JCBS Depot,40.70965083364061,-74.06860113143921
3481,281,York St,40.71649,-74.04105
3483,220,Montgomery St,40.71942,-74.05099
3638,737,Washington St,40.7242941,-74.0354826
3639,1123,Harborside,40.7192517,-74.034234
3640,504,Journal Square,40.73367,-74.0625
3677,127,Glenwood Ave,40.72755146730012,-74.07106071710587
3678,279,Fairmount Ave,40.72572613742557,-74.07195925712585
3679,294,Bergen Ave,40.722103786686034,-74.07145500183105
3681,420,Grand St,40.71517767732029,-74.03768330812454
